Altitude/ft,time_pre/min,exercise_level,time_exposure/min,risk
38000,160,3,20,0.13
38000,160,3,30,0.23
38000,160,3,40,0.34
38000,160,3,50,0.44
38000,160,3,60,0.52
38000,160,3,70,0.59
38000,160,3,80,0.65
38000,160,3,90,0.7
38000,160,3,100,0.74
38000,160,3,110,0.77
38000,160,3,120,0.8
38000,160,3,130,0.82
38000,160,3,140,0.84
38000,160,3,150,0.86
38000,160,3,160,0.87
38000,160,3,170,0.88
38000,160,3,180,0.89
38000,160,3,190,0.9
38000,160,3,200,0.91
38000,160,3,210,0.92
38000,160,3,220,0.92
38000,160,3,230,0.93
38000,160,3,240,0.94
38000,180,3,10,0.04
38000,180,3,20,0.11
38000,180,3,30,0.21
38000,180,3,40,0.31
38000,180,3,50,0.4
38000,180,3,60,0.48
38000,180,3,70,0.55
38000,180,3,80,0.61
38000,180,3,90,0.66
38000,180,3,100,0.71
38000,180,3,110,0.74
38000,180,3,120,0.77
38000,180,3,130,0.8
38000,180,3,140,0.82
38000,180,3,150,0.84
38000,180,3,160,0.85
38000,180,3,170,0.87
